,LG,LG_block,X,position_window,Position_on_LG,CM_position,n,coefficient,block_size,cytotype,window_size,coefficient_MB,LG_final
278,L.7,6,575.5,1666,166656086.555555,70.756062455,5,1.57081057677887e-17,25MB,NC,100000,1.57081057677887e-11,A1
279,L.7,7,577.5,1818,181848153.5,67.31107719,1,NA,25MB,NC,100000,NA,A1
280,L.7,12,579.5,3223,322365609,20.72993607,1,NA,25MB,NC,100000,NA,A1
281,L.7,13,612,3391.20634920635,339165166.645206,39.8138542589668,5.38095238095238,-1.33037996453592e-05,25MB,NC,100000,-13.3037996453592,A1
282,L.8,0,697.5,112.685185185185,11317265.6089826,83.7966258806709,4.2037037037037,-3.50090668997354e-05,25MB,NC,100000,-35.0090668997354,A2
283,L.8,1,783.5,352.921875,35344626.8998343,71.1242490541927,2.484375,0.000236525474119831,25MB,NC,100000,236.525474119831,A2
284,L.8,2,834,611.081081081081,61163159.344159,54.9366026158559,2.62162162162162,-4.08635108346799e-07,25MB,NC,100000,-0.408635108346799,A2
285,L.8,3,873,867.756097560976,86821587.6224739,51.637309097561,2.95121951219512,2.68012716185261e-05,25MB,NC,100000,26.8012716185261,A2
286,L.8,4,915,1130.93023255814,113142022.40816,51.7189228550498,4.04651162790698,-3.12142792663596e-05,25MB,NC,100000,-31.2142792663596,A2
287,L.8,5,957,1365.24390243902,136576989.748577,52.4846042897561,2.4390243902439,1.97284789679848e-19,25MB,NC,100000,1.97284789679848e-13,A2
288,L.8,6,1002.5,1627.26,162778046.905667,55.4863336414,2.52,-2.41635306083099e-17,25MB,NC,100000,-2.41635306083099e-11,A2
289,L.8,7,1050.5,1850.30434782609,185076596.48354,55.4194033521739,3.28260869565217,0.000307043492372134,25MB,NC,100000,307.043492372134,A2
290,L.8,8,1101,2143.94545454545,214432173.022251,56.7180487474242,4.43636363636364,6.73393166689434e-06,25MB,NC,100000,6.73393166689434,A2
291,L.8,9,1176,2393.03157894737,239352564.419162,43.9650748694035,5.96842105263158,-1.03255965884299e-06,25MB,NC,100000,-1.03255965884299,A2
